;Latitude;Longitude;Altitude;Latitude_modif;Longitude_modif
amitie;-4.321022;55.69336;3.0;-4.325;55.675
anseboileau;-4.710958;55.484734;2.0;-4.725;55.475
antananarivo;-18.89833;47.54642;1309.0;-18.875;47.525
aurere;-21.019772;55.424725;603.0;-21.025;55.425
braspanonmoreau;-21.00265;55.682896;20.0;-21.025;55.675
cavernedufour;-21.109177;55.495655;2495.0;-21.125;55.475
cilaosbrassec;-21.141754;55.489704;1269.0;-21.125;55.475
cilaospiscine;-21.136158;55.47416;1213.0;-21.125;55.475
cilaosthermes;-21.12894;55.47332;1255.8;-21.125;55.475
craterebory;-21.244139;55.70902;2584.2;-21.225;55.725
diego;-12.348602;49.29341;108.0;-12.325;49.275
durban;-29.87098;30.97695;150.0;-29.875;30.975
edfboisdenefles;-20.91731;55.476444;337.0;-20.925;55.475
edflapossession;-20.93061;55.328968;13.0;-20.925;55.325
edfsaintandre;-20.962797;55.622433;200.0;-20.975;55.625
edfsaintleu;-21.200642;55.302334;232.0;-21.225;55.325
edfsaintpierre;-21.313923;55.45107;67.0;-21.325;55.475
hahaya;-11.539412;43.27811;32.0;-11.525;43.275
leportbarbusse;-20.934156;55.30779;16.96;-20.925;55.325
leportmairie;-20.935232;55.290264;12.0;-20.925;55.275
marla;-21.102371;55.430576;1593.25;-21.125;55.425
mrtbrasdeau;-20.139385;57.72605;27.0;-20.125;57.725
observatoirevolcan;-21.208588;55.571453;1556.0;-21.225;55.575
oldbsrn;-20.90146;55.483593;96.0;-20.925;55.475
oldbsrnsec;-20.90146;55.483593;96.0;-20.925;55.475
ouani;-12.132659;44.42928;20.0;-12.125;44.425
pitondesneiges;-21.095596;55.480305;2990.0;-21.075;55.475
plaineparcnational;-21.1367;55.6241;1057.0;-21.125;55.625
reservetortues;-19.757626;63.37075;36.0;-19.775;63.375
sainterosemairie;-21.127323;55.793137;24.0;-21.125;55.775
saintjosephmairie;-21.379078;55.619686;36.0;-21.375;55.625
saintlouisjeanjoly;-21.27139;55.43558;152.0;-21.275;55.425
saintpaulcarat;-21.043228;55.250893;100.0;-21.025;55.275
uomreduit;-20.244968;57.487694;200.0;-20.225;57.475
urbsrn;-20.90146;55.483593;104.0;-20.925;55.475
urbsrnsec;-20.90146;55.483593;104.0;-20.925;55.475
urmoufia;-20.90146;55.483593;96.0;-20.925;55.475
urtampon;-21.269278;55.50702;553.0;-21.275;55.525
vacoas;-20.297094;57.496918;431.0;-20.275;57.475
